File Path,Timestamp,Info
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.46s           2023-11-25T17:59:12,2023-11-25T17:59:45.348+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.76s           2023-11-25T17:59:44,2023-11-25T18:00:25.608+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.66s           2023-11-25T18:00:15,2023-11-25T18:00:45.711+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.49s           2023-11-25T18:00:46,2023-11-25T18:01:25.976+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.51s           2023-11-25T18:01:17,2023-11-25T18:01:46.087+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.49s           2023-11-25T18:01:48,2023-11-25T18:02:26.358+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.53s           2023-11-25T18:02:19,2023-11-25T18:02:46.469+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.65s           2023-11-25T18:02:51,2023-11-25T18:03:26.794+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.59s           2023-11-25T18:03:22,2023-11-25T18:03:46.904+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.50s           2023-11-25T18:03:53,2023-11-25T18:04:27.188+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.55s           2023-11-25T18:04:24,2023-11-25T18:04:47.302+0000,Searching for files in /opt/airflow/dags
